Time =>2019/12/08 01:47:07, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php?fungsi=listsiswa
Time =>2019/12/08 01:47:19, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:47:32, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:47:44, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:48:03, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:49:55, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:50:06, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:51:11, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:52:59, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:57:06, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:57:10, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:57:55, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 01:58:42, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:00:39, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:02:24, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:02:25, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:02:27, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:07:15, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:07:28, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:07:51, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:07:58, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
Time =>2019/12/08 02:08:19, IP Address => 127.0.0.1, URL Hit => http://fire.arie.id/services.php
